player_name,raid_name,boss_name,raid_difficulty,total_pulls
yevie,liberation of undermine,sprocketmonger lockenstock,heroic,3
shanaiya,liberation of undermine,rik reverb,mythic,9
legoman,liberation of undermine,vexie and the geargrinders,heroic,2
larssonoker,liberation of undermine,rik reverb,heroic,1
snorrelax,liberation of undermine,rik reverb,mythic,4
vitiblast,liberation of undermine,sprocketmonger lockenstock,heroic,1
profesorpapi,liberation of undermine,one-armed bandit,heroic,2
hesoyâm,liberation of undermine,chrome king gallywix,heroic,2
vitiblast,liberation of undermine,rik reverb,mythic,9
slarken,liberation of undermine,"mug'zee, heads of security",mythic,6
drottmonk,liberation of undermine,one-armed bandit,heroic,2
irîs,liberation of undermine,"mug'zee, heads of security",heroic,1
